1,2327186
2,28867
3,23245
5,19801
7,19966
11,21330
17,20147
25,21845
38,22236
57,20100
86,21355
129,22549
194,20749
291,18115
437,15341
656,13874
985,14181
1477,13830
2216,17027
3325,30713
4987,16964
7481,13934
11222,13881
16834,14126
25251,14754
37876,13845
56815,13871
85222,18471
127834,21031
191751,17409
287626,15530
431439,13846
647159,41572
970739,21511
1456109,31446
2184164,14745
3276246,17360
4914369,27581
7371554,14189
11057332,19852
16585998,20132
24878997,17609
37318496,14630
55977744,14378
83966617,13844
125949925,13827
188924888,18108
283387333,20458
425081000,16983
637621500,14442
956432250,14108
1434648375,28654
